,"O*NET-SOC 2000 Code, 6dig","O*NET-SOC 2006 Code, 6dig","O*NET-SOC 2000 Codes, 8dig","O*NET-SOC 2006 Codes, 8dig, Left","O*NET-SOC 2000 Titles, 8dig","O*NET-SOC 2006 Titles, 8dig, Left","O*NET-SOC 2009 Code, 6dig","O*NET-SOC 2006 Codes, 8dig, Right","O*NET-SOC 2009 Codes, 8dig, Left","O*NET-SOC 2006 Titles, 8dig, Right","O*NET-SOC 2009 Titles, 8dig, Left","O*NET-SOC 2010 Code, 6dig","O*NET-SOC 2009 Codes, 8dig, Right","O*NET-SOC 2010 Codes, 8dig, Left","O*NET-SOC 2009 Titles, 8dig, Right","O*NET-SOC 2010 Titles, 8dig, Left","O*NET-SOC 2019 Code, 6dig","O*NET-SOC 2010 Codes, 8dig, Right","O*NET-SOC 2019 Codes, 8dig, Left","O*NET-SOC 2010 Titles, 8dig, Right","O*NET-SOC 2019 Titles, 8dig, Left"
45,11-9199,11-9199,11-9199.99,11-9199.99,"Managers, All Other","Managers, All Other",11-9199,11-9199.99,11-9199.00,"Managers, All Other","Managers, All Other",11-9199,11-9199.00 AND 11-9199.01 AND 11-9199.02 AND 11-9199.03 AND 11-9199.04 AND 11-9199.07 AND 11-9199.08 AND 11-9199.09 AND 11-9199.10 AND 11-9199.11,11-9199.00 AND 11-9199.01 AND 11-9199.02 AND 11-9199.03 AND 11-9199.04 AND 11-9199.07 AND 11-9199.08 AND 11-9199.09 AND 11-9199.10 AND 11-9199.11,"Managers, All Other AND Regulatory Affairs Managers AND Compliance Managers AND Investment Fund Managers AND Supply Chain Managers AND Security Managers AND Loss Prevention Managers AND Wind Energy Operations Managers AND Wind Energy Project Managers AND Brownfield Redevelopment Specialists and Site Managers","Managers, All Other AND Regulatory Affairs Managers AND Compliance Managers AND Investment Fund Managers AND Supply Chain Managers AND Security Managers AND Loss Prevention Managers AND Wind Energy Operations Managers AND Wind Energy Project Managers AND Brownfield Redevelopment Specialists and Site Managers",11-9199,11-9199.00 AND 11-9199.01 AND 11-9199.02 AND 11-9199.07 AND 11-9199.08 AND 11-9199.09 AND 11-9199.10 AND 11-9199.11,11-9199.00 AND 11-9199.01 AND 11-9199.02 AND 11-9199.08 AND 11-9199.09 AND 11-9199.10 AND 11-9199.11,"Managers, All Other AND Regulatory Affairs Managers AND Compliance Managers AND Security Managers AND Loss Prevention Managers AND Wind Energy Operations Managers AND Wind Energy Project Managers AND Brownfield Redevelopment Specialists and Site Managers","Managers, All Other AND Regulatory Affairs Managers AND Compliance Managers AND Loss Prevention Managers AND Wind Energy Operations Managers AND Wind Energy Development Managers AND Brownfield Redevelopment Specialists and Site Managers"
46,11-9199,11-9199,11-9199.99,11-9199.99,"Managers, All Other","Managers, All Other",11-9199,11-9199.99,11-9199.00,"Managers, All Other","Managers, All Other",11-9199,11-9199.00 AND 11-9199.01 AND 11-9199.02 AND 11-9199.03 AND 11-9199.04 AND 11-9199.07 AND 11-9199.08 AND 11-9199.09 AND 11-9199.10 AND 11-9199.11,11-9199.00 AND 11-9199.01 AND 11-9199.02 AND 11-9199.03 AND 11-9199.04 AND 11-9199.07 AND 11-9199.08 AND 11-9199.09 AND 11-9199.10 AND 11-9199.11,"Managers, All Other AND Regulatory Affairs Managers AND Compliance Managers AND Investment Fund Managers AND Supply Chain Managers AND Security Managers AND Loss Prevention Managers AND Wind Energy Operations Managers AND Wind Energy Project Managers AND Brownfield Redevelopment Specialists and Site Managers","Managers, All Other AND Regulatory Affairs Managers AND Compliance Managers AND Investment Fund Managers AND Supply Chain Managers AND Security Managers AND Loss Prevention Managers AND Wind Energy Operations Managers AND Wind Energy Project Managers AND Brownfield Redevelopment Specialists and Site Managers",13-1082,11-9199.00,13-1082.00,"Managers, All Other",Project Management Specialists
47,11-9199,11-9199,11-9199.99,11-9199.99,"Managers, All Other","Managers, All Other",11-9199,11-9199.99,11-9199.00,"Managers, All Other","Managers, All Other",13-1199,11-9199.05,13-1199.06,Online Merchants,Online Merchants,13-1041,13-1199.03,13-1041.08,Customs Brokers,Customs Brokers
48,11-9199,11-9199,11-9199.99,11-9199.99,"Managers, All Other","Managers, All Other",11-9199,11-9199.99,11-9199.00,"Managers, All Other","Managers, All Other",13-1199,11-9199.05,13-1199.06,Online Merchants,Online Merchants,13-1082,13-1199.00,13-1082.00,"Business Operations Specialists, All Other",Project Management Specialists
49,11-9199,11-9199,11-9199.99,11-9199.99,"Managers, All Other","Managers, All Other",11-9199,11-9199.99,11-9199.00,"Managers, All Other","Managers, All Other",13-1199,11-9199.05,13-1199.06,Online Merchants,Online Merchants,13-1199,13-1199.00 AND 13-1199.02 AND 13-1199.04 AND 13-1199.05 AND 13-1199.06,13-1199.00 AND 13-1199.07 AND 13-1199.04 AND 13-1199.05 AND 13-1199.06,"Business Operations Specialists, All Other AND Security Management Specialists AND Business Continuity Planners AND Sustainability Specialists AND Online Merchants","Business Operations Specialists, All Other AND Security Management Specialists AND Business Continuity Planners AND Sustainability Specialists AND Online Merchants"
50,11-9199,11-9199,11-9199.99,11-9199.99,"Managers, All Other","Managers, All Other",11-9199,11-9199.99,11-9199.00,"Managers, All Other","Managers, All Other",13-1199,11-9199.05,13-1199.06,Online Merchants,Online Merchants,47-4011,13-1199.01,47-4011.01,Energy Auditors,Energy Auditors
51,13-1199,13-1199,13-1199.99,13-1199.99,"Business Operations Specialists, All Other","Business Operations Specialists, All Other",13-1199,13-1199.99,13-1199.00,"Business Operations Specialists, All Other","Business Operations Specialists, All Other",13-1199,13-1199.00 AND 13-1199.01 AND 13-1199.02 AND 13-1199.03 AND 13-1199.04 AND 13-1199.05,13-1199.00 AND 13-1199.01 AND 13-1199.02 AND 13-1199.03 AND 13-1199.04 AND 13-1199.05,"Business Operations Specialists, All Other AND Energy Auditors AND Security Management Specialists AND Customs Brokers AND Business Continuity Planners AND Sustainability Specialists","Business Operations Specialists, All Other AND Energy Auditors AND Security Management Specialists AND Customs Brokers AND Business Continuity Planners AND Sustainability Specialists",13-1041,13-1199.03,13-1041.08,Customs Brokers,Customs Brokers
52,13-1199,13-1199,13-1199.99,13-1199.99,"Business Operations Specialists, All Other","Business Operations Specialists, All Other",13-1199,13-1199.99,13-1199.00,"Business Operations Specialists, All Other","Business Operations Specialists, All Other",13-1199,13-1199.00 AND 13-1199.01 AND 13-1199.02 AND 13-1199.03 AND 13-1199.04 AND 13-1199.05,13-1199.00 AND 13-1199.01 AND 13-1199.02 AND 13-1199.03 AND 13-1199.04 AND 13-1199.05,"Business Operations Specialists, All Other AND Energy Auditors AND Security Management Specialists AND Customs Brokers AND Business Continuity Planners AND Sustainability Specialists","Business Operations Specialists, All Other AND Energy Auditors AND Security Management Specialists AND Customs Brokers AND Business Continuity Planners AND Sustainability Specialists",13-1082,13-1199.00,13-1082.00,"Business Operations Specialists, All Other",Project Management Specialists
53,13-1199,13-1199,13-1199.99,13-1199.99,"Business Operations Specialists, All Other","Business Operations Specialists, All Other",13-1199,13-1199.99,13-1199.00,"Business Operations Specialists, All Other","Business Operations Specialists, All Other",13-1199,13-1199.00 AND 13-1199.01 AND 13-1199.02 AND 13-1199.03 AND 13-1199.04 AND 13-1199.05,13-1199.00 AND 13-1199.01 AND 13-1199.02 AND 13-1199.03 AND 13-1199.04 AND 13-1199.05,"Business Operations Specialists, All Other AND Energy Auditors AND Security Management Specialists AND Customs Brokers AND Business Continuity Planners AND Sustainability Specialists","Business Operations Specialists, All Other AND Energy Auditors AND Security Management Specialists AND Customs Brokers AND Business Continuity Planners AND Sustainability Specialists",13-1199,13-1199.00 AND 13-1199.02 AND 13-1199.04 AND 13-1199.05 AND 13-1199.06,13-1199.00 AND 13-1199.07 AND 13-1199.04 AND 13-1199.05 AND 13-1199.06,"Business Operations Specialists, All Other AND Security Management Specialists AND Business Continuity Planners AND Sustainability Specialists AND Online Merchants","Business Operations Specialists, All Other AND Security Management Specialists AND Business Continuity Planners AND Sustainability Specialists AND Online Merchants"
54,13-1199,13-1199,13-1199.99,13-1199.99,"Business Operations Specialists, All Other","Business Operations Specialists, All Other",13-1199,13-1199.99,13-1199.00,"Business Operations Specialists, All Other","Business Operations Specialists, All Other",13-1199,13-1199.00 AND 13-1199.01 AND 13-1199.02 AND 13-1199.03 AND 13-1199.04 AND 13-1199.05,13-1199.00 AND 13-1199.01 AND 13-1199.02 AND 13-1199.03 AND 13-1199.04 AND 13-1199.05,"Business Operations Specialists, All Other AND Energy Auditors AND Security Management Specialists AND Customs Brokers AND Business Continuity Planners AND Sustainability Specialists","Business Operations Specialists, All Other AND Energy Auditors AND Security Management Specialists AND Customs Brokers AND Business Continuity Planners AND Sustainability Specialists",47-4011,13-1199.01,47-4011.01,Energy Auditors,Energy Auditors
55,13-1011,13-1011,13-1011.00,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes",13-1011,13-1011.00,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes",13-1011,13-1011.00,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes",13-1011,13-1011.00,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes"
56,13-1021,13-1021,13-1021.00,13-1021.00,"Purchasing Agents and Buyers, Farm Products","Purchasing Agents and Buyers, Farm Products",13-1021,13-1021.00,13-1021.00,"Purchasing Agents and Buyers, Farm Products","Purchasing Agents and Buyers, Farm Products",13-1021,13-1021.00,13-1021.00,"Purchasing Agents and Buyers, Farm Products","Buyers and Purchasing Agents, Farm Products",13-1021,13-1021.00,13-1021.00,"Buyers and Purchasing Agents, Farm Products","Buyers and Purchasing Agents, Farm Products"
57,13-1022,13-1022,13-1022.00,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Wholesale and Retail Buyers, Except Farm Products",13-1022,13-1022.00,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Wholesale and Retail Buyers, Except Farm Products",13-1022,13-1022.00,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Wholesale and Retail Buyers, Except Farm Products",13-1022,13-1022.00,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Wholesale and Retail Buyers, Except Farm Products"
58,13-1023,13-1023,13-1023.00,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023,13-1023.00,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023,13-1023.00,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023,13-1023.00,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchasing Agents, Except Wholesale, Retail, and Farm Products"
59,13-1031,13-1031,13-1031.00 AND 13-1031.01 AND 13-1031.02,13-1031.00 AND 13-1031.01 AND 13-1031.02,"Claims Adjusters, Examiners, and Investigators AND Claims Examiners, Property and Casualty Insurance AND Insurance Adjusters, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators AND Claims Examiners, Property and Casualty Insurance AND Insurance Adjusters, Examiners, and Investigators",13-1031,13-1031.00 AND 13-1031.01 AND 13-1031.02,13-1031.00 AND 13-1031.01 AND 13-1031.02,"Claims Adjusters, Examiners, and Investigators AND Claims Examiners, Property and Casualty Insurance AND Insurance Adjusters, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators AND Claims Examiners, Property and Casualty Insurance AND Insurance Adjusters, Examiners, and Investigators",13-1031,13-1031.00 AND 13-1031.01 AND 13-1031.02,13-1031.00 AND 13-1031.01 AND 13-1031.02,"Claims Adjusters, Examiners, and Investigators AND Claims Examiners, Property and Casualty Insurance AND Insurance Adjusters, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators AND Claims Examiners, Property and Casualty Insurance AND Insurance Adjusters, Examiners, and Investigators",13-1031,13-1031.00 AND 13-1031.01 AND 13-1031.02,13-1031.00,"Claims Adjusters, Examiners, and Investigators AND Claims Examiners, Property and Casualty Insurance AND Insurance Adjusters, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators"
60,13-1032,13-1032,13-1032.00,13-1032.00,"Insurance Appraisers, Auto Damage","Insurance Appraisers, Auto Damage",13-1032,13-1032.00,13-1032.00,"Insurance Appraisers, Auto Damage","Insurance Appraisers, Auto Damage",13-1032,13-1032.00,13-1032.00,"Insurance Appraisers, Auto Damage","Insurance Appraisers, Auto Damage",13-1032,13-1032.00,13-1032.00,"Insurance Appraisers, Auto Damage","Insurance Appraisers, Auto Damage"
61,13-1041,13-1041,13-1041.00 AND 13-1041.01 AND 13-1041.02 AND 13-1041.03 AND 13-1041.04 AND 13-1041.06,13-1041.00 AND 13-1041.01 AND 13-1041.02 AND 13-1041.03 AND 13-1041.04 AND 13-1041.06,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation AND Environmental Compliance Inspectors AND Licensing Examiners and Inspectors AND Equal Opportunity Representatives and Officers AND Government Property Inspectors and Investigators AND Coroners","Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation AND Environmental Compliance Inspectors AND Licensing Examiners and Inspectors AND Equal Opportunity Representatives and Officers AND Government Property Inspectors and Investigators AND Coroners",13-1041,13-1041.00 AND 13-1041.01 AND 13-1041.02 AND 13-1041.03 AND 13-1041.04,13-1041.00 AND 13-1041.01 AND 13-1041.02 AND 13-1041.03 AND 13-1041.04,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation AND Environmental Compliance Inspectors AND Licensing Examiners and Inspectors AND Equal Opportunity Representatives and Officers AND Government Property Inspectors and Investigators","Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation AND Environmental Compliance Inspectors AND Licensing Examiners and Inspectors AND Equal Opportunity Representatives and Officers AND Government Property Inspectors and Investigators",13-1041,13-1041.00 AND 13-1041.01 AND 13-1041.02 AND 13-1041.03 AND 13-1041.04 AND 13-1041.06 AND 13-1041.07,13-1041.00 AND 13-1041.01 AND 13-1041.02 AND 13-1041.03 AND 13-1041.04 AND 13-1041.06 AND 13-1041.07,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation AND Environmental Compliance Inspectors AND Licensing Examiners and Inspectors AND Equal Opportunity Representatives and Officers AND Government Property Inspectors and Investigators AND Coroners AND Regulatory Affairs Specialists",Compliance Officers AND Environmental Compliance Inspectors AND Licensing Examiners and Inspectors AND Equal Opportunity Representatives and Officers AND Government Property Inspectors and Investigators AND Coroners AND Regulatory Affairs Specialists,13-1041,13-1041.00 AND 13-1041.01 AND 13-1041.02 AND 13-1041.03 AND 13-1041.04 AND 13-1041.06 AND 13-1041.07,13-1041.00 AND 13-1041.01 AND 13-1041.03 AND 13-1041.04 AND 13-1041.06 AND 13-1041.07,Compliance Officers AND Environmental Compliance Inspectors AND Licensing Examiners and Inspectors AND Equal Opportunity Representatives and Officers AND Government Property Inspectors and Investigators AND Coroners AND Regulatory Affairs Specialists,Compliance Officers AND Environmental Compliance Inspectors AND Equal Opportunity Representatives and Officers AND Government Property Inspectors and Investigators AND Coroners AND Regulatory Affairs Specialists
62,13-1041,47-4011,13-1041.05,47-4011.00,Pressure Vessel Inspectors,Construction and Building Inspectors,47-4011,47-4011.00,47-4011.00,Construction and Building Inspectors,Construction and Building Inspectors,47-4011,47-4011.00,47-4011.00,Construction and Building Inspectors,Construction and Building Inspectors,47-4011,47-4011.00,47-4011.00,Construction and Building Inspectors,Construction and Building Inspectors
63,47-4011,47-4011,47-4011.00,47-4011.00,Construction and Building Inspectors,Construction and Building Inspectors,47-4011,47-4011.00,47-4011.00,Construction and Building Inspectors,Construction and Building Inspectors,47-4011,47-4011.00,47-4011.00,Construction and Building Inspectors,Construction and Building Inspectors,47-4011,47-4011.00,47-4011.00,Construction and Building Inspectors,Construction and Building Inspectors
